"","pathogens","Quant","Sample","type"
"81","Cryptosporidium spp.",NA,"CATTLE_SN_048_R2","CATTLE"
"82","C parvum",NA,"CATTLE_SN_048_R2","CATTLE"
"83","Stongyloides stercoralis",NA,"CATTLE_SN_048_R2","CATTLE"
"84","E. histolytica",NA,"CATTLE_SN_048_R2","CATTLE"
"85","ETEC-ST",NA,"CATTLE_SN_048_R2","CATTLE"
"86","Adenovirus 40/41",NA,"CATTLE_SN_048_R2","CATTLE"
"87","Giardia duodenalis",NA,"CATTLE_SN_048_R2","CATTLE"
"88","E. coli/ Shigella",NA,"CATTLE_SN_048_R2","CATTLE"
"89","Ascaris",NA,"CATTLE_SN_048_R2","CATTLE"
"90","ETEC-LT",NA,"CATTLE_SN_048_R2","CATTLE"
"91","Necator americanus",NA,"CATTLE_SN_048_R2","CATTLE"
"92","Norovirus GI",NA,"CATTLE_SN_048_R2","CATTLE"
"93","Norovirus GII",NA,"CATTLE_SN_048_R2","CATTLE"
"94","Rotavirus A",NA,"CATTLE_SN_048_R2","CATTLE"
"95","Shigella flexneri 6",NA,"CATTLE_SN_048_R2","CATTLE"
"96","EHEC 0157H7",NA,"CATTLE_SN_048_R2","CATTLE"
"97","STEC",NA,"CATTLE_SN_048_R2","CATTLE"
"98","Salmonella typhi",NA,"CATTLE_SN_048_R2","CATTLE"
"99","Clostridium difficile",NA,"CATTLE_SN_048_R2","CATTLE"
"100","Vibrio cholerae",NA,"CATTLE_SN_048_R2","CATTLE"
"101","Trichuris",NA,"CATTLE_SN_048_R2","CATTLE"
"102","Salmonella enterica",NA,"CATTLE_SN_048_R2","CATTLE"
"103","Total E. coli",151020.490837945,"CATTLE_SN_048_R2","CATTLE"
"104","Helicobacter pylori",NA,"CATTLE_SN_048_R2","CATTLE"
"105","EIEC",NA,"CATTLE_SN_048_R2","CATTLE"
"106","Enterovirus",NA,"HHSOIL_SN_048_R2","HHSOIL"
"107","EAEC",NA,"HHSOIL_SN_048_R2","HHSOIL"
"108","Ancyclostoma duodenale",NA,"HHSOIL_SN_048_R2","HHSOIL"
"109","Aeromonas",NA,"HHSOIL_SN_048_R2","HHSOIL"
"110","EPEC",17.4338398948115,"HHSOIL_SN_048_R2","HHSOIL"
"111","Bacteroides fragilis",NA,"HHSOIL_SN_048_R2","HHSOIL"
"112","Campylobacter coli/jejuni",17.0498439852652,"HHSOIL_SN_048_R2","HHSOIL"
"113","Astrovirus",NA,"HHSOIL_SN_048_R2","HHSOIL"
"114","Cyclospora cayetanesis",NA,"HHSOIL_SN_048_R2","HHSOIL"
"115","C hominis",NA,"HHSOIL_SN_048_R2","HHSOIL"
"116","Cryptosporidium spp.",NA,"HHSOIL_SN_048_R2","HHSOIL"
"117","C parvum",NA,"HHSOIL_SN_048_R2","HHSOIL"
"118","Stongyloides stercoralis",NA,"HHSOIL_SN_048_R2","HHSOIL"
"119","E. histolytica",NA,"HHSOIL_SN_048_R2","HHSOIL"
"120","ETEC-ST",NA,"HHSOIL_SN_048_R2","HHSOIL"
"121","Adenovirus 40/41",NA,"HHSOIL_SN_048_R2","HHSOIL"
"122","Giardia duodenalis",NA,"HHSOIL_SN_048_R2","HHSOIL"
"123","E. coli/ Shigella",NA,"HHSOIL_SN_048_R2","HHSOIL"
"124","Ascaris",NA,"HHSOIL_SN_048_R2","HHSOIL"
"125","ETEC-LT",NA,"HHSOIL_SN_048_R2","HHSOIL"
"126","Necator americanus",NA,"HHSOIL_SN_048_R2","HHSOIL"
"127","Norovirus GI",NA,"HHSOIL_SN_048_R2","HHSOIL"
"128","Norovirus GII",NA,"HHSOIL_SN_048_R2","HHSOIL"
"129","Rotavirus A",NA,"HHSOIL_SN_048_R2","HHSOIL"
"130","Shigella flexneri 6",NA,"HHSOIL_SN_048_R2","HHSOIL"
"131","EHEC 0157H7",NA,"HHSOIL_SN_048_R2","HHSOIL"
"132","STEC",NA,"HHSOIL_SN_048_R2","HHSOIL"
"133","Salmonella typhi",NA,"HHSOIL_SN_048_R2","HHSOIL"
"134","Clostridium difficile",NA,"HHSOIL_SN_048_R2","HHSOIL"
"135","Vibrio cholerae",NA,"HHSOIL_SN_048_R2","HHSOIL"
"136","Trichuris",NA,"HHSOIL_SN_048_R2","HHSOIL"
"137","Salmonella enterica",NA,"HHSOIL_SN_048_R2","HHSOIL"
"138","Total E. coli",1603.65747496376,"HHSOIL_SN_048_R2","HHSOIL"
"139","Helicobacter pylori",NA,"HHSOIL_SN_048_R2","HHSOIL"
"140","EIEC",NA,"HHSOIL_SN_048_R2","HHSOIL"
"141","Enterovirus",NA,"HHSOIL_SN_062_R4","HHSOIL"
"142","EAEC",NA,"HHSOIL_SN_062_R4","HHSOIL"
"143","Ancyclostoma duodenale",NA,"HHSOIL_SN_062_R4","HHSOIL"
"144","Aeromonas",NA,"HHSOIL_SN_062_R4","HHSOIL"
"145","EPEC",56.076864154393,"HHSOIL_SN_062_R4","HHSOIL"
"146","Bacteroides fragilis",NA,"HHSOIL_SN_062_R4","HHSOIL"
"147","Campylobacter coli/jejuni",1224.63814497857,"HHSOIL_SN_062_R4","HHSOIL"
"148","Astrovirus",NA,"HHSOIL_SN_062_R4","HHSOIL"
"149","Cyclospora cayetanesis",NA,"HHSOIL_SN_062_R4","HHSOIL"
"150","C hominis",NA,"HHSOIL_SN_062_R4","HHSOIL"
"151","Cryptosporidium spp.",NA,"HHSOIL_SN_062_R4","HHSOIL"
"152","C parvum",NA,"HHSOIL_SN_062_R4","HHSOIL"
"153","Stongyloides stercoralis",NA,"HHSOIL_SN_062_R4","HHSOIL"
"154","E. histolytica",NA,"HHSOIL_SN_062_R4","HHSOIL"
"155","ETEC-ST",NA,"HHSOIL_SN_062_R4","HHSOIL"
"156","Adenovirus 40/41",NA,"HHSOIL_SN_062_R4","HHSOIL"
"157","Giardia duodenalis",NA,"HHSOIL_SN_062_R4","HHSOIL"
"158","E. coli/ Shigella",NA,"HHSOIL_SN_062_R4","HHSOIL"
"159","Ascaris",NA,"HHSOIL_SN_062_R4","HHSOIL"
"160","ETEC-LT",4093.95489467883,"HHSOIL_SN_062_R4","HHSOIL"
"161","Necator americanus",NA,"HHSOIL_SN_062_R4","HHSOIL"
"162","Norovirus GI",NA,"HHSOIL_SN_062_R4","HHSOIL"
"163","Norovirus GII",NA,"HHSOIL_SN_062_R4","HHSOIL"
"164","Rotavirus A",NA,"HHSOIL_SN_062_R4","HHSOIL"
"165","Shigella flexneri 6",NA,"HHSOIL_SN_062_R4","HHSOIL"
"166","EHEC 0157H7",NA,"HHSOIL_SN_062_R4","HHSOIL"
"167","STEC",NA,"HHSOIL_SN_062_R4","HHSOIL"
"168","Salmonella typhi",NA,"HHSOIL_SN_062_R4","HHSOIL"
"169","Clostridium difficile",NA,"HHSOIL_SN_062_R4","HHSOIL"
"170","Vibrio cholerae",NA,"HHSOIL_SN_062_R4","HHSOIL"
"171","Trichuris",NA,"HHSOIL_SN_062_R4","HHSOIL"
"172","Salmonella enterica",NA,"HHSOIL_SN_062_R4","HHSOIL"
"173","Total E. coli",21220.2203340276,"HHSOIL_SN_062_R4","HHSOIL"
"174","Helicobacter pylori",NA,"HHSOIL_SN_062_R4","HHSOIL"
"175","EIEC",NA,"HHSOIL_SN_062_R4","HHSOIL"
"176","Enterovirus",2123.46807840098,"CSTOOL_SN_049_R2","CSTOOL"
"177","EAEC",NA,"CSTOOL_SN_049_R2","CSTOOL"
"178","Ancyclostoma duodenale",NA,"CSTOOL_SN_049_R2","CSTOOL"
"179","Aeromonas",NA,"CSTOOL_SN_049_R2","CSTOOL"
"180","EPEC",NA,"CSTOOL_SN_049_R2","CSTOOL"
"181","Bacteroides fragilis",NA,"CSTOOL_SN_049_R2","CSTOOL"
"182","Campylobacter coli/jejuni",NA,"CSTOOL_SN_049_R2","CSTOOL"
"183","Astrovirus",NA,"CSTOOL_SN_049_R2","CSTOOL"
"184","Cyclospora cayetanesis",NA,"CSTOOL_SN_049_R2","CSTOOL"
"185","C hominis",NA,"CSTOOL_SN_049_R2","CSTOOL"
"186","Cryptosporidium spp.",NA,"CSTOOL_SN_049_R2","CSTOOL"
"187","C parvum",NA,"CSTOOL_SN_049_R2","CSTOOL"
"188","Stongyloides stercoralis",NA,"CSTOOL_SN_049_R2","CSTOOL"
"189","E. histolytica",NA,"CSTOOL_SN_049_R2","CSTOOL"
"190","ETEC-ST",NA,"CSTOOL_SN_049_R2","CSTOOL"
"191","Adenovirus 40/41",NA,"CSTOOL_SN_049_R2","CSTOOL"
"192","Giardia duodenalis",NA,"CSTOOL_SN_049_R2","CSTOOL"
"193","E. coli/ Shigella",NA,"CSTOOL_SN_049_R2","CSTOOL"
"194","Ascaris",NA,"CSTOOL_SN_049_R2","CSTOOL"
"195","ETEC-LT",NA,"CSTOOL_SN_049_R2","CSTOOL"
"196","Necator americanus",NA,"CSTOOL_SN_049_R2","CSTOOL"
"197","Norovirus GI",NA,"CSTOOL_SN_049_R2","CSTOOL"
"198","Norovirus GII",NA,"CSTOOL_SN_049_R2","CSTOOL"
"199","Rotavirus A",NA,"CSTOOL_SN_049_R2","CSTOOL"
"200","Shigella flexneri 6",NA,"CSTOOL_SN_049_R2","CSTOOL"
"201","EHEC 0157H7",NA,"CSTOOL_SN_049_R2","CSTOOL"
"202","STEC",NA,"CSTOOL_SN_049_R2","CSTOOL"
"203","Salmonella typhi",NA,"CSTOOL_SN_049_R2","CSTOOL"
"204","Clostridium difficile",NA,"CSTOOL_SN_049_R2","CSTOOL"
"205","Vibrio cholerae",NA,"CSTOOL_SN_049_R2","CSTOOL"
"206","Trichuris",NA,"CSTOOL_SN_049_R2","CSTOOL"
"207","Salmonella enterica",NA,"CSTOOL_SN_049_R2","CSTOOL"
"208","Total E. coli",762495.835230544,"CSTOOL_SN_049_R2","CSTOOL"
"209","Helicobacter pylori",NA,"CSTOOL_SN_049_R2","CSTOOL"
"210","EIEC",NA,"CSTOOL_SN_049_R2","CSTOOL"
"211","Enterovirus",132.284468848286,"CSTOOL_TS_138_R2","CSTOOL"
"212","EAEC",NA,"CSTOOL_TS_138_R2","CSTOOL"
"213","Ancyclostoma duodenale",NA,"CSTOOL_TS_138_R2","CSTOOL"
"214","Aeromonas",NA,"CSTOOL_TS_138_R2","CSTOOL"
"215","EPEC",5894767.29231432,"CSTOOL_TS_138_R2","CSTOOL"
"216","Bacteroides fragilis",NA,"CSTOOL_TS_138_R2","CSTOOL"
"217","Campylobacter coli/jejuni",NA,"CSTOOL_TS_138_R2","CSTOOL"
"218","Astrovirus",NA,"CSTOOL_TS_138_R2","CSTOOL"
"219","Cyclospora cayetanesis",NA,"CSTOOL_TS_138_R2","CSTOOL"
"220","C hominis",NA,"CSTOOL_TS_138_R2","CSTOOL"
"221","Cryptosporidium spp.",NA,"CSTOOL_TS_138_R2","CSTOOL"
"222","C parvum",NA,"CSTOOL_TS_138_R2","CSTOOL"
"223","Stongyloides stercoralis",NA,"CSTOOL_TS_138_R2","CSTOOL"
"224","E. histolytica",NA,"CSTOOL_TS_138_R2","CSTOOL"
"225","ETEC-ST",NA,"CSTOOL_TS_138_R2","CSTOOL"
"226","Adenovirus 40/41",NA,"CSTOOL_TS_138_R2","CSTOOL"
"227","Giardia duodenalis",NA,"CSTOOL_TS_138_R2","CSTOOL"
"228","E. coli/ Shigella",NA,"CSTOOL_TS_138_R2","CSTOOL"
"229","Ascaris",NA,"CSTOOL_TS_138_R2","CSTOOL"
"230","ETEC-LT",NA,"CSTOOL_TS_138_R2","CSTOOL"
"231","Necator americanus",NA,"CSTOOL_TS_138_R2","CSTOOL"
"232","Norovirus GI",NA,"CSTOOL_TS_138_R2","CSTOOL"
"233","Norovirus GII",NA,"CSTOOL_TS_138_R2","CSTOOL"
"234","Rotavirus A",NA,"CSTOOL_TS_138_R2","CSTOOL"
"235","Shigella flexneri 6",NA,"CSTOOL_TS_138_R2","CSTOOL"
"236","EHEC 0157H7",NA,"CSTOOL_TS_138_R2","CSTOOL"
"237","STEC",NA,"CSTOOL_TS_138_R2","CSTOOL"
"238","Salmonella typhi",NA,"CSTOOL_TS_138_R2","CSTOOL"
"239","Clostridium difficile",NA,"CSTOOL_TS_138_R2","CSTOOL"
"240","Vibrio cholerae",NA,"CSTOOL_TS_138_R2","CSTOOL"
"241","Trichuris",NA,"CSTOOL_TS_138_R2","CSTOOL"
"242","Salmonella enterica",NA,"CSTOOL_TS_138_R2","CSTOOL"
"243","Total E. coli",4376170.43483532,"CSTOOL_TS_138_R2","CSTOOL"
"244","Helicobacter pylori",NA,"CSTOOL_TS_138_R2","CSTOOL"
"245","EIEC",NA,"CSTOOL_TS_138_R2","CSTOOL"
"246","Enterovirus",NA,"CSTOOL_TS_152_R2","CSTOOL"
"247","EAEC",NA,"CSTOOL_TS_152_R2","CSTOOL"
"248","Ancyclostoma duodenale",NA,"CSTOOL_TS_152_R2","CSTOOL"
"249","Aeromonas",NA,"CSTOOL_TS_152_R2","CSTOOL"
"250","EPEC",NA,"CSTOOL_TS_152_R2","CSTOOL"
"251","Bacteroides fragilis",NA,"CSTOOL_TS_152_R2","CSTOOL"
"252","Campylobacter coli/jejuni",NA,"CSTOOL_TS_152_R2","CSTOOL"
"253","Astrovirus",NA,"CSTOOL_TS_152_R2","CSTOOL"
"254","Cyclospora cayetanesis",NA,"CSTOOL_TS_152_R2","CSTOOL"
"255","C hominis",NA,"CSTOOL_TS_152_R2","CSTOOL"
"256","Cryptosporidium spp.",NA,"CSTOOL_TS_152_R2","CSTOOL"
"257","C parvum",NA,"CSTOOL_TS_152_R2","CSTOOL"
"258","Stongyloides stercoralis",NA,"CSTOOL_TS_152_R2","CSTOOL"
"259","E. histolytica",NA,"CSTOOL_TS_152_R2","CSTOOL"
"260","ETEC-ST",NA,"CSTOOL_TS_152_R2","CSTOOL"
"261","Adenovirus 40/41",NA,"CSTOOL_TS_152_R2","CSTOOL"
"262","Giardia duodenalis",NA,"CSTOOL_TS_152_R2","CSTOOL"
"263","E. coli/ Shigella",NA,"CSTOOL_TS_152_R2","CSTOOL"
"264","Ascaris",NA,"CSTOOL_TS_152_R2","CSTOOL"
"265","ETEC-LT",NA,"CSTOOL_TS_152_R2","CSTOOL"
"266","Necator americanus",NA,"CSTOOL_TS_152_R2","CSTOOL"
"267","Norovirus GI",NA,"CSTOOL_TS_152_R2","CSTOOL"
"268","Norovirus GII",NA,"CSTOOL_TS_152_R2","CSTOOL"
"269","Rotavirus A",NA,"CSTOOL_TS_152_R2","CSTOOL"
"270","Shigella flexneri 6",NA,"CSTOOL_TS_152_R2","CSTOOL"
"271","EHEC 0157H7",NA,"CSTOOL_TS_152_R2","CSTOOL"
"272","STEC",NA,"CSTOOL_TS_152_R2","CSTOOL"
"273","Salmonella typhi",NA,"CSTOOL_TS_152_R2","CSTOOL"
"274","Clostridium difficile",NA,"CSTOOL_TS_152_R2","CSTOOL"
"275","Vibrio cholerae",NA,"CSTOOL_TS_152_R2","CSTOOL"
"276","Trichuris",NA,"CSTOOL_TS_152_R2","CSTOOL"
"277","Salmonella enterica",NA,"CSTOOL_TS_152_R2","CSTOOL"
"278","Total E. coli",3219257.94104521,"CSTOOL_TS_152_R2","CSTOOL"
"279","Helicobacter pylori",NA,"CSTOOL_TS_152_R2","CSTOOL"
"280","EIEC",NA,"CSTOOL_TS_152_R2","CSTOOL"
"281","Enterovirus",116057.917905982,"CSTOOL_TS_111_MN","CSTOOL"
"282","EAEC",NA,"CSTOOL_TS_111_MN","CSTOOL"
"283","Ancyclostoma duodenale",NA,"CSTOOL_TS_111_MN","CSTOOL"
"284","Aeromonas",NA,"CSTOOL_TS_111_MN","CSTOOL"
"285","EPEC",NA,"CSTOOL_TS_111_MN","CSTOOL"
"286","Bacteroides fragilis",NA,"CSTOOL_TS_111_MN","CSTOOL"
"287","Campylobacter coli/jejuni",159.100589171537,"CSTOOL_TS_111_MN","CSTOOL"
"288","Astrovirus",NA,"CSTOOL_TS_111_MN","CSTOOL"
"289","Cyclospora cayetanesis",NA,"CSTOOL_TS_111_MN","CSTOOL"
"290","C hominis",NA,"CSTOOL_TS_111_MN","CSTOOL"
"291","Cryptosporidium spp.",NA,"CSTOOL_TS_111_MN","CSTOOL"
"292","C parvum",NA,"CSTOOL_TS_111_MN","CSTOOL"
"293","Stongyloides stercoralis",NA,"CSTOOL_TS_111_MN","CSTOOL"
"294","E. histolytica",NA,"CSTOOL_TS_111_MN","CSTOOL"
"295","ETEC-ST",NA,"CSTOOL_TS_111_MN","CSTOOL"
"296","Adenovirus 40/41",NA,"CSTOOL_TS_111_MN","CSTOOL"
"297","Giardia duodenalis",2068632.31725683,"CSTOOL_TS_111_MN","CSTOOL"
"298","E. coli/ Shigella",NA,"CSTOOL_TS_111_MN","CSTOOL"
"299","Ascaris",NA,"CSTOOL_TS_111_MN","CSTOOL"
"300","ETEC-LT",NA,"CSTOOL_TS_111_MN","CSTOOL"
"301","Necator americanus",NA,"CSTOOL_TS_111_MN","CSTOOL"
"302","Norovirus GI",NA,"CSTOOL_TS_111_MN","CSTOOL"
"303","Norovirus GII",NA,"CSTOOL_TS_111_MN","CSTOOL"
"304","Rotavirus A",NA,"CSTOOL_TS_111_MN","CSTOOL"
"305","Shigella flexneri 6",NA,"CSTOOL_TS_111_MN","CSTOOL"
"306","EHEC 0157H7",NA,"CSTOOL_TS_111_MN","CSTOOL"
"307","STEC",NA,"CSTOOL_TS_111_MN","CSTOOL"
"308","Salmonella typhi",NA,"CSTOOL_TS_111_MN","CSTOOL"
"309","Clostridium difficile",NA,"CSTOOL_TS_111_MN","CSTOOL"
"310","Vibrio cholerae",NA,"CSTOOL_TS_111_MN","CSTOOL"
"311","Trichuris",NA,"CSTOOL_TS_111_MN","CSTOOL"
"312","Salmonella enterica",NA,"CSTOOL_TS_111_MN","CSTOOL"
"313","Total E. coli",84655.2272484924,"CSTOOL_TS_111_MN","CSTOOL"
"314","Helicobacter pylori",NA,"CSTOOL_TS_111_MN","CSTOOL"
"315","EIEC",NA,"CSTOOL_TS_111_MN","CSTOOL"
"316","Enterovirus",NA,"CSTOOL_SN_043_R2","CSTOOL"
"317","EAEC",NA,"CSTOOL_SN_043_R2","CSTOOL"
"318","Ancyclostoma duodenale",NA,"CSTOOL_SN_043_R2","CSTOOL"
"319","Aeromonas",NA,"CSTOOL_SN_043_R2","CSTOOL"
"320","EPEC",NA,"CSTOOL_SN_043_R2","CSTOOL"
"321","Bacteroides fragilis",NA,"CSTOOL_SN_043_R2","CSTOOL"
"322","Campylobacter coli/jejuni",NA,"CSTOOL_SN_043_R2","CSTOOL"
"323","Astrovirus",NA,"CSTOOL_SN_043_R2","CSTOOL"
"324","Cyclospora cayetanesis",NA,"CSTOOL_SN_043_R2","CSTOOL"
"325","C hominis",NA,"CSTOOL_SN_043_R2","CSTOOL"
"326","Cryptosporidium spp.",NA,"CSTOOL_SN_043_R2","CSTOOL"
"327","C parvum",NA,"CSTOOL_SN_043_R2","CSTOOL"
"328","Stongyloides stercoralis",NA,"CSTOOL_SN_043_R2","CSTOOL"
"329","E. histolytica",NA,"CSTOOL_SN_043_R2","CSTOOL"
"330","ETEC-ST",NA,"CSTOOL_SN_043_R2","CSTOOL"
"331","Adenovirus 40/41",NA,"CSTOOL_SN_043_R2","CSTOOL"
"332","Giardia duodenalis",NA,"CSTOOL_SN_043_R2","CSTOOL"
"333","E. coli/ Shigella",NA,"CSTOOL_SN_043_R2","CSTOOL"
"334","Ascaris",NA,"CSTOOL_SN_043_R2","CSTOOL"
"335","ETEC-LT",NA,"CSTOOL_SN_043_R2","CSTOOL"
"336","Necator americanus",NA,"CSTOOL_SN_043_R2","CSTOOL"
"337","Norovirus GI",NA,"CSTOOL_SN_043_R2","CSTOOL"
"338","Norovirus GII",NA,"CSTOOL_SN_043_R2","CSTOOL"
"339","Rotavirus A",NA,"CSTOOL_SN_043_R2","CSTOOL"
"340","Shigella flexneri 6",NA,"CSTOOL_SN_043_R2","CSTOOL"
"341","EHEC 0157H7",NA,"CSTOOL_SN_043_R2","CSTOOL"
"342","STEC",NA,"CSTOOL_SN_043_R2","CSTOOL"
"343","Salmonella typhi",NA,"CSTOOL_SN_043_R2","CSTOOL"
"344","Clostridium difficile",NA,"CSTOOL_SN_043_R2","CSTOOL"
"345","Vibrio cholerae",NA,"CSTOOL_SN_043_R2","CSTOOL"
"346","Trichuris",NA,"CSTOOL_SN_043_R2","CSTOOL"
"347","Salmonella enterica",NA,"CSTOOL_SN_043_R2","CSTOOL"
"348","Total E. coli",7306.29233078231,"CSTOOL_SN_043_R2","CSTOOL"
"349","Helicobacter pylori",NA,"CSTOOL_SN_043_R2","CSTOOL"
"350","EIEC",NA,"CSTOOL_SN_043_R2","CSTOOL"
"351","Enterovirus",47894.6488829492,"CSTOOL_SN_062_R2","CSTOOL"
"352","EAEC",NA,"CSTOOL_SN_062_R2","CSTOOL"
"353","Ancyclostoma duodenale",NA,"CSTOOL_SN_062_R2","CSTOOL"
"354","Aeromonas",NA,"CSTOOL_SN_062_R2","CSTOOL"
"355","EPEC",NA,"CSTOOL_SN_062_R2","CSTOOL"
"356","Bacteroides fragilis",606710393.99189,"CSTOOL_SN_062_R2","CSTOOL"
"357","Campylobacter coli/jejuni",606710393.99189,"CSTOOL_SN_062_R2","CSTOOL"
"358","Astrovirus",NA,"CSTOOL_SN_062_R2","CSTOOL"
"359","Cyclospora cayetanesis",NA,"CSTOOL_SN_062_R2","CSTOOL"
"360","C hominis",NA,"CSTOOL_SN_062_R2","CSTOOL"
"361","Cryptosporidium spp.",NA,"CSTOOL_SN_062_R2","CSTOOL"
"362","C parvum",NA,"CSTOOL_SN_062_R2","CSTOOL"
"363","Stongyloides stercoralis",NA,"CSTOOL_SN_062_R2","CSTOOL"
"364","E. histolytica",NA,"CSTOOL_SN_062_R2","CSTOOL"
"365","ETEC-ST",NA,"CSTOOL_SN_062_R2","CSTOOL"
