"","pathogens","PosNeg","Sample","Cardno","type"
"41","Ancyclostoma duodenale","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"42","Aeromonas","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"43","Bacterial 16S","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"44","EPEC","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"45","Bacteroides fragilis","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"46","Campylobacter coli/jejuni","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"47","Astrovirus","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"48","Cyclospora cayetanesis","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"49","C hominis","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"50","Cryptosporidium spp.","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"51","C parvum","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"52","Stongyloides stercoralis","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"53","E. histolytica","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"54","ETEC-ST","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"55","Adenovirus 40/41","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"56","Giardia duodenalis","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"57","E. coli/ Shigella","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"58","Ascaris","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"59","ETEC-LT","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"60","Necator americanus","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"61","Norovirus GI","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"62","Norovirus GII","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"63","Rotavirus A","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"64","Shigella flexneri 6","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"65","Crassphage","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"66","EHEC 0157H7","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"67","STEC","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"68","Salmonella typhi","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"69","Clostridium difficile","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"70","Vibrio cholerae","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"71","Trichuris","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"72","Salmonella enterica","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"73","Helicobacter pylori","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"74","EIEC","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"75","Total 18S","Positive","CATTLE_SN_048_R2","card_20221014","CATTLE"
"76","Enterovirus","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"77","EAEC","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"78","Ancyclostoma duodenale","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"79","Aeromonas","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"80","Bacterial 16S","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"81","EPEC","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"82","Bacteroides fragilis","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"83","Campylobacter coli/jejuni","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"84","Astrovirus","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"85","Cyclospora cayetanesis","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"86","C hominis","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"87","Cryptosporidium spp.","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"88","C parvum","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"89","Stongyloides stercoralis","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"90","E. histolytica","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"91","ETEC-ST","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"92","Adenovirus 40/41","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"93","Giardia duodenalis","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"94","E. coli/ Shigella","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"95","Ascaris","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"96","ETEC-LT","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"97","Necator americanus","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"98","Norovirus GI","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"99","Norovirus GII","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"100","Rotavirus A","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"101","Shigella flexneri 6","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"102","Crassphage","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"103","EHEC 0157H7","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"104","STEC","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"105","Salmonella typhi","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"106","Clostridium difficile","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"107","Vibrio cholerae","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"108","Trichuris","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"109","Salmonella enterica","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"110","Helicobacter pylori","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"111","EIEC","Negative","CATTLE_SN_048_R2","card_20221014","CATTLE"
"112","Total 18S","Positive","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"113","Enterovirus","Positive","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"114","EAEC","Positive","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"115","Ancyclostoma duodenale","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"116","Aeromonas","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"117","Bacterial 16S","Positive","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"118","EPEC","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"119","Bacteroides fragilis","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"120","Campylobacter coli/jejuni","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"121","Astrovirus","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"122","Cyclospora cayetanesis","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"123","C hominis","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"124","Cryptosporidium spp.","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"125","C parvum","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"126","Stongyloides stercoralis","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"127","E. histolytica","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"128","ETEC-ST","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"129","Adenovirus 40/41","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"130","Giardia duodenalis","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"131","E. coli/ Shigella","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"132","Ascaris","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"133","ETEC-LT","Positive","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"134","Necator americanus","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"135","Norovirus GI","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"136","Norovirus GII","Positive","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"137","Rotavirus A","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"138","Shigella flexneri 6","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"139","Crassphage","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"140","EHEC 0157H7","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"141","STEC","Positive","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"142","Salmonella typhi","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"143","Clostridium difficile","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"144","Vibrio cholerae","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"145","Trichuris","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"146","Salmonella enterica","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"147","Helicobacter pylori","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"148","EIEC","Negative","HHSOIL_SN_048_R2","card_20221014","HHSOIL"
"149","Total 18S","Positive","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"150","Enterovirus","Positive","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"151","EAEC","Positive","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"152","Ancyclostoma duodenale","Negative","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"153","Aeromonas","Negative","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"154","Bacterial 16S","Positive","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"155","EPEC","Positive","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"156","Bacteroides fragilis","Positive","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"157","Campylobacter coli/jejuni","Positive","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"158","Astrovirus","Negative","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"159","Cyclospora cayetanesis","Negative","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"160","C hominis","Negative","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"161","Cryptosporidium spp.","Negative","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"162","C parvum","Negative","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"163","Stongyloides stercoralis","Negative","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"164","E. histolytica","Negative","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"165","ETEC-ST","Negative","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"166","Adenovirus 40/41","Positive","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"167","Giardia duodenalis","Positive","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"168","E. coli/ Shigella","Negative","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"169","Ascaris","Negative","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"170","ETEC-LT","Positive","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"171","Necator americanus","Negative","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"172","Norovirus GI","Negative","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"173","Norovirus GII","Negative","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"174","Rotavirus A","Negative","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"175","Shigella flexneri 6","Negative","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"176","Crassphage","Negative","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"177","EHEC 0157H7","Negative","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"178","STEC","Positive","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"179","Salmonella typhi","Negative","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"180","Clostridium difficile","Negative","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"181","Vibrio cholerae","Negative","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"182","Trichuris","Negative","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"183","Salmonella enterica","Negative","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"184","Helicobacter pylori","Negative","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"185","EIEC","Negative","HHSOIL_SN_062_R4","card_20221014","HHSOIL"
"186","Total 18S","Positive","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"187","Enterovirus","Positive","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"188","EAEC","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"189","Ancyclostoma duodenale","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"190","Aeromonas","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"191","Bacterial 16S","Positive","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"192","EPEC","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"193","Bacteroides fragilis","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"194","Campylobacter coli/jejuni","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"195","Astrovirus","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"196","Cyclospora cayetanesis","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"197","C hominis","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"198","Cryptosporidium spp.","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"199","C parvum","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"200","Stongyloides stercoralis","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"201","E. histolytica","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"202","ETEC-ST","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"203","Adenovirus 40/41","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"204","Giardia duodenalis","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"205","E. coli/ Shigella","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"206","Ascaris","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"207","ETEC-LT","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"208","Necator americanus","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"209","Norovirus GI","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"210","Norovirus GII","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"211","Rotavirus A","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"212","Shigella flexneri 6","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"213","Crassphage","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"214","EHEC 0157H7","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"215","STEC","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"216","Salmonella typhi","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"217","Clostridium difficile","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"218","Vibrio cholerae","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"219","Trichuris","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"220","Salmonella enterica","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"221","Helicobacter pylori","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"222","EIEC","Negative","CSTOOL_SN_049_R2","card_20221107","CSTOOL"
"223","Total 18S","Positive","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"224","Enterovirus","Positive","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"225","EAEC","Positive","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"226","Ancyclostoma duodenale","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"227","Aeromonas","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"228","Bacterial 16S","Positive","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"229","EPEC","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"230","Bacteroides fragilis","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"231","Campylobacter coli/jejuni","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"232","Astrovirus","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"233","Cyclospora cayetanesis","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"234","C hominis","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"235","Cryptosporidium spp.","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"236","C parvum","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"237","Stongyloides stercoralis","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"238","E. histolytica","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"239","ETEC-ST","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"240","Adenovirus 40/41","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"241","Giardia duodenalis","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"242","E. coli/ Shigella","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"243","Ascaris","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"244","ETEC-LT","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"245","Necator americanus","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"246","Norovirus GI","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"247","Norovirus GII","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"248","Rotavirus A","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"249","Shigella flexneri 6","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"250","Crassphage","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"251","EHEC 0157H7","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"252","STEC","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"253","Salmonella typhi","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"254","Clostridium difficile","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"255","Vibrio cholerae","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"256","Trichuris","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"257","Salmonella enterica","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"258","Helicobacter pylori","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"259","EIEC","Negative","CSTOOL_TS_138_R2","card_20221107","CSTOOL"
"260","Total 18S","Positive","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"261","Enterovirus","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"262","EAEC","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"263","Ancyclostoma duodenale","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"264","Aeromonas","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"265","Bacterial 16S","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"266","EPEC","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"267","Bacteroides fragilis","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"268","Campylobacter coli/jejuni","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"269","Astrovirus","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"270","Cyclospora cayetanesis","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"271","C hominis","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"272","Cryptosporidium spp.","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"273","C parvum","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"274","Stongyloides stercoralis","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"275","E. histolytica","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"276","ETEC-ST","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"277","Adenovirus 40/41","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"278","Giardia duodenalis","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"279","E. coli/ Shigella","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"280","Ascaris","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"281","ETEC-LT","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"282","Necator americanus","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"283","Norovirus GI","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"284","Norovirus GII","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"285","Rotavirus A","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"286","Shigella flexneri 6","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"287","Crassphage","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"288","EHEC 0157H7","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"289","STEC","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"290","Salmonella typhi","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"291","Clostridium difficile","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"292","Vibrio cholerae","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"293","Trichuris","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"294","Salmonella enterica","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"295","Helicobacter pylori","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"296","EIEC","Negative","CSTOOL_TS_152_R2","card_20221107","CSTOOL"
"297","Total 18S","Positive","CSTOOL_TS_111_MN","card_20221107","CSTOOL"
"298","Enterovirus","Positive","CSTOOL_TS_111_MN","card_20221107","CSTOOL"
"299","EAEC","Positive","CSTOOL_TS_111_MN","card_20221107","CSTOOL"
"300","Ancyclostoma duodenale","Negative","CSTOOL_TS_111_MN","card_20221107","CSTOOL"
"301","Aeromonas","Negative","CSTOOL_TS_111_MN","card_20221107","CSTOOL"
"302","Bacterial 16S","Positive","CSTOOL_TS_111_MN","card_20221107","CSTOOL"
"303","EPEC","Positive","CSTOOL_TS_111_MN","card_20221107","CSTOOL"
"304","Bacteroides fragilis","Negative","CSTOOL_TS_111_MN","card_20221107","CSTOOL"
"305","Campylobacter coli/jejuni","Negative","CSTOOL_TS_111_MN","card_20221107","CSTOOL"
"306","Astrovirus","Negative","CSTOOL_TS_111_MN","card_20221107","CSTOOL"
"307","Cyclospora cayetanesis","Negative","CSTOOL_TS_111_MN","card_20221107","CSTOOL"
"308","C hominis","Negative","CSTOOL_TS_111_MN","card_20221107","CSTOOL"
"309","Cryptosporidium spp.","Negative","CSTOOL_TS_111_MN","card_20221107","CSTOOL"
"310","C parvum","Negative","CSTOOL_TS_111_MN","card_20221107","CSTOOL"
"311","Stongyloides stercoralis","Negative","CSTOOL_TS_111_MN","card_20221107","CSTOOL"
"312","E. histolytica","Negative","CSTOOL_TS_111_MN","card_20221107","CSTOOL"
"313","ETEC-ST","Negative","CSTOOL_TS_111_MN","card_20221107","CSTOOL"
"314","Adenovirus 40/41","Positive","CSTOOL_TS_111_MN","card_20221107","CSTOOL"
"315","Giardia duodenalis","Positive","CSTOOL_TS_111_MN","card_20221107","CSTOOL"
"316","E. coli/ Shigella","Negative","CSTOOL_TS_111_MN","card_20221107","CSTOOL"
"317","Ascaris","Negative","CSTOOL_TS_111_MN","card_20221107","CSTOOL"
"318","ETEC-LT","Negative","CSTOOL_TS_111_MN","card_20221107","CSTOOL"
